p	0000	1000	0100	1100	0010	1010	0110	1110	0001	1001	0101	1101	0011	1011	0111	1111
5	0	1.4	3.0	4.4	5.6	7.0	8.6	10.0	11	13	14	16	17	18	20	21
10	0	2.0	4.1	6.1	7.5	9.5	12	14	17	19	21	23	24	26	28	30
20	0	2.9	6.1	9.0	11	14	17	20	24	27	30	33	35	38	41	44
30	0	3.8	7.8	12	14	18	22	26	31	34	38	42	45	49	53	57
40	0	4.7	9.6	14	18	22	27	32	37	42	47	51	55	60	64	69
50	0	5.6	11.3	17	21	27	33	38	44	49	55	61	65	71	76	82
60	0	6.4	13	19	25	31	38	44	50	57	63	70	75	81	88	94
70	0	7.3	15	22	28	35	43	50	57	64	72	79	85	92	100	107
80	0	8.1	17	25	32	40	48	56	64	72	81	89	96	104	112	120
90	0	9.0	18	27	35	44	53	62	71	80	89	98	106	115	124	133
100	0	9.8	20	30	38	48	58	68	78	88	98	108	116	126	136	146